fold,model,train_bic,test_bic,test_reduced_chi2,test_rms_frac
0,rar,23192.707,4918.825,6.1698,0.22658
0,psichi,30023.138,7467.684,9.3936,0.26144
0,pop_nfw,81951.35,21403.216,26.9821,0.35024
0,newton,82335.951,21336.089,26.821,0.35031
1,rar,23174.192,4649.289,6.9936,0.19729
1,psichi,29024.667,9760.935,14.7651,0.24459
1,newton,76533.63,27138.147,40.9127,0.38724
1,pop_nfw,77093.431,26260.478,39.7394,0.38794
2,rar,21566.087,6257.3,9.8235,0.38099
2,psichi,27995.247,7658.682,12.0657,0.39932
2,pop_nfw,82141.48,21212.272,33.4597,0.46888
2,newton,82821.335,20850.378,32.7633,0.46753
3,rar,21306.706,6516.771,9.8295,0.26599
3,psichi,28358.422,8875.013,13.4392,0.27357
3,pop_nfw,85649.397,17704.507,26.8164,0.34585
3,newton,86308.654,17363.12,26.2086,0.33634
4,rar,21969.808,5853.539,9.3497,0.39251
4,psichi,23235.594,8099.403,12.9908,0.42992
4,pop_nfw,86489.409,16864.275,27.0612,0.33063
4,newton,86651.308,17020.378,27.212,0.33177
