year,value,indicator_code,indicator_name,country_code,country_name
1960,53.573,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1961,54.422,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1962,55.057,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1963,55.501,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1964,55.916,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1965,56.688,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1966,57.355,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1967,57.959,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1968,58.22,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1969,58.413,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1970,58.893,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1971,59.415,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1972,60.051,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1973,60.518,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1974,61.18,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1975,61.883,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1976,62.475,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1977,62.988,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1978,63.435,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1979,63.862,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1980,64.282,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1981,64.722,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1982,65.256,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1983,65.756,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1984,66.215,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1985,66.775,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1986,67.377,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1987,67.904,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1988,68.299,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1989,68.621,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1990,69.034,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1991,69.368,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1992,69.663,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1993,69.961,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1994,70.302,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1995,70.703,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1996,71.088,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1997,71.472,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1998,71.792,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
1999,72.203,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2000,72.562,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2001,72.912,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2002,73.106,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2003,73.308,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2004,73.432,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2005,73.627,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2006,73.746,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2007,73.796,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2008,73.695,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2009,73.628,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2010,73.718,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2011,73.921,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2012,74.128,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2013,74.289,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2014,74.404,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2015,74.431,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2016,74.376,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2017,74.261,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2018,74.301,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2019,74.53,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2020,70.449,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2021,69.75,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2022,73.973,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2023,75.069,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
2024,75.264,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",MEX,Mexico
